[2022/09/19 18:04:15] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/19 18:04:19] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/09/20 07:51:34] - 73 	 332.3 	 	 0.0100 	 0.4504 	 0.8048 	 0.8887	 5529.5938 	 0.2559
[2022/09/20 07:58:07] - 74 	 332.6 	 	 0.0010 	 0.4478 	 0.8045 	 0.9027	 5558.0889 	 0.2402
[2022/09/20 08:04:40] - 75 	 332.5 	 	 0.0010 	 0.3165 	 0.8766 	 0.9242	 3912.7544 	 0.3051
[2022/09/20 08:11:14] - 76 	 332.6 	 	 0.0010 	 0.2365 	 0.9096 	 0.9234	 3322.3508 	 0.3086
[2022/09/20 08:17:47] - 77 	 332.7 	 	 0.0010 	 0.2084 	 0.9202 	 0.9180	 3135.8435 	 0.3168
[2022/09/20 08:24:21] - 78 	 332.5 	 	 0.0010 	 0.1857 	 0.9307 	 0.9246	 2945.8169 	 0.3246
[2022/09/20 08:30:54] - 79 	 332.5 	 	 0.0010 	 0.1694 	 0.9357 	 0.9227	 2840.2810 	 0.3301
[2022/09/20 08:37:27] - 80 	 332.6 	 	 0.0010 	 0.1573 	 0.9413 	 0.9230	 2752.0750 	 0.3312
[2022/09/20 08:44:01] - 81 	 332.6 	 	 0.0010 	 0.1432 	 0.9476 	 0.9223	 2591.3333 	 0.3375
[2022/09/20 08:50:34] - 82 	 332.3 	 	 0.0010 	 0.1331 	 0.9528 	 0.9238	 2517.3242 	 0.3383
[2022/09/20 08:57:07] - 83 	 332.3 	 	 0.0010 	 0.1214 	 0.9573 	 0.9227	 2390.5901 	 0.3414
[2022/09/20 09:03:40] - 84 	 332.4 	 	 0.0010 	 0.1140 	 0.9601 	 0.9230	 2341.8169 	 0.3398
[2022/09/20 09:10:13] - 85 	 332.4 	 	 0.0010 	 0.1073 	 0.9621 	 0.9219	 2285.7358 	 0.3387
[2022/09/20 09:16:46] - 86 	 332.5 	 	 0.0010 	 0.0999 	 0.9650 	 0.9191	 2194.4036 	 0.3414
[2022/09/20 09:23:19] - 87 	 332.6 	 	 0.0010 	 0.0947 	 0.9676 	 0.9207	 2152.6360 	 0.3406
